Team ID,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Rk,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,TOV,PF,PTS
Boston Celtics*2017-2018,55,27,0.6709999999999999,2,3.23,96.0,-1.3,107.6,-1.0,103.9,-4.7,20,241.5,38.3,85.1,0.45,11.5,30.4,0.377,26.9,0.491,16.0,20.7,0.7709999999999999,9.4,35.1,44.5,22.5,7.4,14.0,19.7,104.0
Cleveland Cavaliers*2017-2018,50,32,0.61,1,0.59,98.0,0.7,112.9,4.3,111.9,3.3,5,240.6,40.4,84.8,0.47600000000000003,12.0,32.1,0.37200000000000005,28.4,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,13.7,18.6,110.9
Golden State Warriors*2017-2018,58,24,0.7070000000000001,1,5.79,99.6,2.3,113.6,5.0,107.7,-0.9,1,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,15.5,19.6,113.5
Houston Rockets*2017-2018,65,17,0.7929999999999999,1,8.21,97.6,0.3,114.7,6.1,106.1,-2.5,2,240.9,38.7,84.2,0.46,15.3,42.3,0.36200000000000004,23.4,0.5579999999999999,19.6,25.1,0.7809999999999999,9.0,34.5,43.5,21.5,8.5,13.8,19.5,112.4
Indiana Pacers*2017-2018,48,34,0.585,2,1.18,96.0,-1.3,109.5,0.9,108.1,-0.5,17,240.9,40.8,86.4,0.47200000000000003,9.0,24.5,0.369,31.8,0.513,14.9,19.2,0.779,9.6,32.7,42.3,22.2,8.8,13.3,18.8,105.6
Miami Heat*2017-2018,44,38,0.537,1,0.15,95.6,-1.7,106.8,-1.8,106.3,-2.3,23,243.0,38.8,85.3,0.455,11.0,30.6,0.36,27.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,14.4,20.1,103.4
Milwaukee Bucks*2017-2018,44,38,0.537,3,-0.45,96.3,-1.0,109.8,1.2,110.1,1.5,15,241.8,39.7,83.0,0.478,8.8,24.7,0.355,31.0,0.531,18.3,23.4,0.782,8.4,31.5,39.8,23.2,8.8,13.8,21.4,106.5
New Orleans Pelicans*2017-2018,48,34,0.585,2,1.48,100.5,3.2,109.6,1.0,108.3,-0.3,3,243.4,42.7,88.3,0.483,10.2,28.2,0.36200000000000004,32.5,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8.0,14.9,19.1,111.7
Oklahoma City Thunder*2017-2018,48,34,0.585,2,3.42,96.7,-0.6,110.7,2.1,107.2,-1.4,12,241.8,39.9,88.0,0.45299999999999996,10.7,30.4,0.354,29.1,0.505,17.3,24.2,0.715,12.5,32.6,45.1,21.3,9.1,14.0,20.2,107.9
Philadelphia 76ers*2017-2018,52,30,0.634,3,4.3,99.8,2.5,109.5,0.9,105.0,-3.6,7,241.2,40.8,86.6,0.47200000000000003,11.0,29.8,0.369,29.9,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,16.5,22.1,109.8
Portland Trail Blazers*2017-2018,49,33,0.598,1,2.6,96.5,-0.8,109.1,0.5,106.4,-2.2,16,240.9,39.3,87.0,0.452,10.3,28.1,0.366,29.0,0.493,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7.0,13.5,19.5,105.6
San Antonio Spurs*2017-2018,47,35,0.573,3,2.89,95.0,-2.3,107.9,-0.7,104.8,-3.8,27,240.6,39.0,85.4,0.457,8.5,24.1,0.35200000000000004,30.6,0.499,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,13.1,17.2,102.7
Toronto Raptors*2017-2018,59,23,0.72,1,7.29,97.4,0.1,113.8,5.2,105.9,-2.7,4,241.8,41.3,87.4,0.47200000000000003,11.8,33.0,0.358,29.5,0.541,17.3,21.8,0.794,9.8,34.2,44.0,24.3,7.6,13.4,21.8,111.7
Utah Jazz*2017-2018,48,34,0.585,3,4.47,95.7,-1.6,108.4,-0.2,103.9,-4.7,19,240.9,38.3,82.9,0.462,10.8,29.6,0.366,27.5,0.515,16.8,21.5,0.779,9.0,34.2,43.3,22.4,8.6,14.7,19.6,104.1
Washington Wizards*2017-2018,43,39,0.524,2,0.53,96.6,-0.7,109.3,0.7,108.7,0.1,13,242.1,39.9,85.6,0.467,9.9,26.5,0.375,30.0,0.508,16.8,21.8,0.772,10.0,33.1,43.1,25.2,7.9,14.6,21.3,106.6
Minnesota Timberwolves*2017-2018,47,35,0.573,4,2.35,96.0,-1.3,113.4,4.8,111.1,2.5,8,241.5,41.0,86.1,0.47600000000000003,8.0,22.5,0.35700000000000004,33.0,0.519,19.4,24.1,0.804,10.3,31.6,42.0,22.7,8.4,12.5,18.2,109.5
